date,Q,NO3
1999-01-03 00:00:00,0.06545,7.599999967
1999-01-03 06:40:00,0.070920002,7.369999999
1999-01-03 13:20:00,0.322950008,6.129999814
1999-01-03 20:00:00,0.325598181,4.469090882
1999-01-04 02:40:00,0.264520907,4.901818239
1999-01-04 09:20:00,0.218249994,6.030000108
1999-01-04 16:00:00,0.18733,7.160000003
1999-01-04 22:40:00,0.161406359,7.16
1999-01-05 05:20:00,0.127985453,7.170000002
1999-01-05 12:00:00,0.112569998,7.169999999
1999-01-05 18:40:00,0.102329998,7.170000003
1999-01-06 01:20:00,0.091359997,7.170000001
1999-01-06 08:00:00,0.080292727,7.170000003
1999-01-06 14:40:00,0.075132727,7.170000002
1999-01-06 21:20:00,0.0709,7.169999999
1999-01-07 04:00:00,0.06807,7.179999997
1999-01-07 10:40:00,0.065713635,7.180000002
1999-01-07 17:20:00,0.063168182,7.100000001
1999-01-08 00:00:00,0.0586,6.899999965
